PRICE,ORIGIN,MAKE,MODEL,YEAR,MILEAGE,COLOR,HYBRID,DIESEL,4WD,CONVERTIBLE,LEATHER,AUTOTRANSMISSION,AUTOWINDOWS,AC,HEATEDSEATS,CHASSIS_FR,CHASSIS_FL,CHASSIS_RR,CHASSIS_RL
28000,UK,LANDROVER,LR2,2007,83000,BLUE,0,0,0,0,0,1,1,1,0,0,0,0,0
37500,DE,MERCEDES,E200,2008,54000,CHAMPAIGNE,0,0,0,0,0,1,1,1,0,0,0,0,0
35000,DE,MERCEDES,E200,2008,82000,BLACK,0,0,0,0,0,1,1,1,0,0,0,0,0
19000,DE,MERCEDES,ML500,2003,106194,SILVER,0,0,0,0,0,1,1,1,0,0,0,0,0
10200,JP,MITSUBISHI,LANCER,2010,40000,VINOUS,0,0,0,0,1,1,1,1,0,0,0,0,0
12000,JP,NISSAN,X-TRAIL,2003,85000,CHAMPAIGNE,0,0,0,0,0,1,1,1,0,0,0,0,0
16200,JP,NISSAN,ALTIMA,2009,60000,BLACK,1,0,0,0,1,1,1,1,0,0,0,0,0
12000,JP,NISSAN,SUNNY,2010,45000,WHITE,0,0,0,0,0,1,1,1,0,0,0,0,0
8200,DE,OPEL,ASTRA,2001,51000,SILVER BLUE,0,0,0,0,0,1,1,1,0,0,0,0,0
17000,JP,TOYOTA,PRIUS,2010,32000,BLACK,1,0,0,0,0,1,1,1,0,0,0,0,0
16450,JP,TOYOTA,CAMRY,2008,128720,GREEN,0,0,0,0,1,1,1,1,0,0,0,0,0
117500,JP,TOYOTA,CAMRY,2009,74000,SILVER,1,0,0,0,0,1,1,1,0,0,0,0,0
16800,JP,TOYOTA,CAMRY,2009,60000,SILVER,1,0,0,0,1,1,1,1,0,0,0,0,0
13000,JP,TOYOTA,PRIUS,2008,85277,RED,1,0,0,0,0,1,1,1,0,0,0,0,0
26500,DE,V.W,TOUAREG,2008,67000,SILVER,0,0,0,0,0,1,1,1,0,0,0,0,0
18500,DE,V.W,GOLF,2012,15000,BLACK,0,0,0,0,1,1,1,1,0,0,0,0,0
36000,UK,LANDROVER,RANGE ROVER,2004,120000,NAVY BLUE,0,0,0,0,0,1,1,1,0,0,0,0,0
33500,JP,LEXUS,GS450H,2008,37007,WHITE,1,0,0,0,0,1,1,1,0,0,0,0,0
26000,JP,LEXUS,IS300,2007,90000,NAVY GREEN,0,0,0,0,0,1,1,1,0,0,0,0,0
21500,JP,LEXUS,HS250H,2010,26870,VINOUS,1,0,0,0,0,1,1,1,0,0,0,0,0
